file	percent	reads	taxon_id	taxon_name
kaiju_reads_out/Massospora_3FC_strict.out	4.062677	160395	286	Pseudomonas
kaiju_reads_out/Massospora_3FC_strict.out	1.006887	39752	53335	Pantoea
kaiju_reads_out/Massospora_3FC_strict.out	0.256408	10123	59732	Chryseobacterium
kaiju_reads_out/Massospora_3FC_strict.out	0.252254	9959	561	Escherichia
kaiju_reads_out/Massospora_3FC_strict.out	0.186043	7345	1357	Lactococcus
kaiju_reads_out/Massospora_3FC_strict.out	0.050076	1977	551	Erwinia
kaiju_reads_out/Massospora_3FC_strict.out	0.021631	854	613	Serratia
kaiju_reads_out/Massospora_3FC_strict.out	0.019757	780	544	Citrobacter
kaiju_reads_out/Massospora_3FC_strict.out	0.012107	478	469	Acinetobacter
kaiju_reads_out/Massospora_3FC_strict.out	0.010182	402	620	Shigella
kaiju_reads_out/Massospora_3FC_strict.out	0.009372	370	1301	Streptococcus
kaiju_reads_out/Massospora_3FC_strict.out	0.008511	336	570	Klebsiella
kaiju_reads_out/Massospora_3FC_strict.out	0.007599	300	547	Enterobacter
kaiju_reads_out/Massospora_3FC_strict.out	0.004965	196	590	Salmonella
kaiju_reads_out/Massospora_3FC_strict.out	0.004711	186	40323	Stenotrophomonas
kaiju_reads_out/Massospora_3FC_strict.out	0.004331	171	1663	Arthrobacter
kaiju_reads_out/Massospora_3FC_strict.out	0.003040	120	1849822	Paraclostridium
kaiju_reads_out/Massospora_3FC_strict.out	0.002584	102	573657	Candidatus Hodgkinia
kaiju_reads_out/Massospora_3FC_strict.out	0.001849	73	338	Xanthomonas
kaiju_reads_out/Massospora_3FC_strict.out	0.001697	67	1356488	Rosenbergiella
kaiju_reads_out/Massospora_3FC_strict.out	0.001646	65	82986	Tatumella
kaiju_reads_out/Massospora_3FC_strict.out	0.001596	63	662	Vibrio
kaiju_reads_out/Massospora_3FC_strict.out	0.001494	59	1386	Bacillus
kaiju_reads_out/Massospora_3FC_strict.out	0.001368	54	308865	Elizabethkingia
kaiju_reads_out/Massospora_3FC_strict.out	0.001241	49	629	Yersinia
kaiju_reads_out/Massospora_3FC_strict.out	0.001241	49	1279	Staphylococcus
kaiju_reads_out/Massospora_3FC_strict.out	0.001114	44	32008	Burkholderia
kaiju_reads_out/Massospora_3FC_strict.out	0.001038	41	1330545	Lelliottia
kaiju_reads_out/Massospora_3FC_strict.out	0.000988	39	413496	Cronobacter
kaiju_reads_out/Massospora_3FC_strict.out	0.000912	36	122277	Pectobacterium
kaiju_reads_out/Massospora_3FC_strict.out	0.000861	34	44249	Paenibacillus
kaiju_reads_out/Massospora_3FC_strict.out	0.000760	30	69965	Macrococcus
kaiju_reads_out/Massospora_3FC_strict.out	0.000735	29	1350	Enterococcus
kaiju_reads_out/Massospora_3FC_strict.out	0.000735	29	13687	Sphingomonas
kaiju_reads_out/Massospora_3FC_strict.out	0.000735	29	34037	Rahnella
kaiju_reads_out/Massospora_3FC_strict.out	0.000735	29	84567	Pedobacter
kaiju_reads_out/Massospora_3FC_strict.out	0.000709	28	237	Flavobacterium
kaiju_reads_out/Massospora_3FC_strict.out	0.000709	28	352	Azotobacter
kaiju_reads_out/Massospora_3FC_strict.out	0.000709	28	374	Bradyrhizobium
kaiju_reads_out/Massospora_3FC_strict.out	0.000608	24	626	Xenorhabdus
kaiju_reads_out/Massospora_3FC_strict.out	0.000583	23	1716	Corynebacterium
kaiju_reads_out/Massospora_3FC_strict.out	0.000583	23	336809	Candidatus Sulcia
kaiju_reads_out/Massospora_3FC_strict.out	0.000557	22	150247	Anoxybacillus
kaiju_reads_out/Massospora_3FC_strict.out	0.000532	21	642	Aeromonas
